"","Daily cases (bars)","7-day average (line)"
"11/06","7","5.14"
"12/06","5","6.57"
"13/06","8","7.86"
"14/06","10","10.14"
"15/06","12","11.71"
"16/06","9","12.71"
"17/06","20","15.14"
"18/06","18","16.14"
"19/06","12","16.29"
"20/06","25","17.43"
"21/06","17","17.14"
"22/06","13","19.29"
"23/06","17","21.57"
"24/06","18","23.71"
"25/06","33","28.00"
"26/06","28","36.00"
"27/06","40","42.29"
"28/06","47","50.43"
"29/06","69","56.14"
"30/06","61","61.00"
"01/07","75","69.57"
"02/07","73","72.57"
"03/07","62","76.71"
"04/07","100","92.00"
"05/07","68","98.71"
"06/07","98","109.71"
"07/07","168","121.29"
"08/07","122","148.29"
"09/07","150","174.86"
"10/07","143","185.00"
"11/07","289","196.57"
"12/07","254","210.57"
"13/07","169","231.57"
"14/07","249","265.29"
"15/07","220","254.14"
"16/07","297","266.14"
"17/07","379","279.71"
"18/07","211","290.86"
"19/07","338","322.14"
"20/07","264","333.71"
"21/07","327","320.86"
"22/07","439","338.86"
"23/07","378","349.57"
"24/07","289","383.00"
"25/07","337","387.71"
"26/07","413","364.14"
"27/07","498","401.57"
"28/07","360","440.29"
"29/07","274","444.71"
"30/07","640","472.71"
"31/07","560","452.71"
"01/08","368","459.71"
"02/08","609","520.00"
"03/08","358","492.29"
"04/08","409","473.00"
"05/08","696","485.71"
"06/08","446","452.29"
"07/08","425","445.71"
"08/08","457","433.71"
"09/08","375","392.43"
"10/08","312","367.43"
"11/08","325","359.86"
"12/08","407",""
"13/08","271",""
"14/08","372",""
