"","Overseas","Known Local","Unknown Local (Community)","Interstate (N/A)","Under Investigation"
"15/03","4","1","0","0","0"
"16/03","7","0","0","0","0"
"17/03","13","3","1","0","0"
"18/03","29","8","0","0","0"
"19/03","23","7","0","0","0"
"20/03","24","8","1","0","0"
"21/03","32","10","1","0","0"
"22/03","35","9","2","0","0"
"23/03","51","19","3","0","0"
"24/03","39","17","0","0","0"
"25/03","49","11","4","0","0"
"26/03","44","11","3","0","0"
"27/03","33","17","4","0","0"
"28/03","72","27","7","0","0"
"29/03","48","23","6","0","0"
"30/03","23","28","3","0","0"
"31/03","42","39","7","0","0"
"01/04","24","23","11","0","0"
"02/04","27","27","9","0","0"
"03/04","20","33","6","0","0"
"04/04","11","8","3","0","0"
"05/04","9","17","3","0","0"
"06/04","5","15","6","0","0"
"07/04","16","9","7","0","0"
"08/04","11","6","7","0","0"
"09/04","4","9","1","0","0"
"10/04","5","6","2","0","0"
"11/04","11","10","3","0","0"
"12/04","4","1","1","0","0"
"13/04","8","0","0","0","0"
"14/04","5","3","1","0","0"
"15/04","2","1","1","0","0"
"16/04","1","4","0","0","0"
"17/04","3","3","1","0","0"
"18/04","9","3","2","0","0"
"19/04","5","7","1","0","0"
"20/04","0","1","0","0","0"
"21/04","2","3","0","0","0"
"22/04","1","0","0","0","0"
"23/04","0","1","0","0","0"
"24/04","1","3","1","0","0"
"25/04","0","2","1","0","0"
"26/04","1","1","1","0","0"
"27/04","0","1","0","0","0"
"28/04","0","3","0","0","0"
"29/04","1","2","0","0","0"
"30/04","2","5","0","0","0"
"01/05","4","1","0","0","0"
"02/05","1","7","2","0","0"
"03/05","1","7","3","0","0"
"04/05","2","18","1","0","0"
"05/05","1","9","4","0","0"
"06/05","8","7","1","0","0"
"07/05","0","14","1","0","0"
"08/05","0","8","5","0","0"
"09/05","1","8","3","0","0"
"10/05","3","1","4","0","0"
"11/05","4","1","0","0","0"
"12/05","0","14","2","0","0"
"13/05","2","1","4","0","0"
"14/05","3","6","0","0","0"
"15/05","7","10","2","0","0"
"16/05","7","2","4","0","0"
"17/05","3","2","0","0","0"
"18/05","2","2","2","0","0"
"19/05","1","3","3","0","0"
"20/05","0","2","3","0","0"
"21/05","0","3","2","0","0"
"22/05","3","5","2","0","0"
"23/05","3","0","6","0","0"
"24/05","0","0","2","0","0"
"25/05","2","0","0","0","0"
"26/05","3","1","1","0","0"
"27/05","2","3","2","0","0"
"28/05","3","7","0","0","0"
"29/05","3","2","1","0","0"
"30/05","2","5","1","0","0"
"31/05","3","4","1","0","0"
"01/06","1","1","2","0","0"
"02/06","0","4","5","0","0"
"03/06","7","0","0","0","0"
"04/06","6","1","1","0","0"
"05/06","2","0","1","0","0"
"06/06","0","0","1","0","0"
"07/06","3","1","0","0","0"
"08/06","1","0","1","0","0"
"09/06","0","0","0","0","0"
"10/06","0","1","3","0","0"
"11/06","2","1","4","0","0"
"12/06","2","2","1","0","0"
"13/06","6","2","0","0","0"
"14/06","3","7","0","0","0"
"15/06","1","9","2","0","0"
"16/06","3","3","3","0","0"
"17/06","15","2","3","0","0"
"18/06","7","2","9","0","0"
"19/06","1","8","3","0","0"
"20/06","2","11","12","0","0"
"21/06","3","10","4","0","0"
"22/06","4","4","5","0","0"
"23/06","2","7","8","0","0"
"24/06","1","11","6","0","0"
"25/06","10","17","6","0","0"
"26/06","8","12","8","0","0"
"27/06","1","24","15","0","0"
"28/06","0","27","20","0","0"
"29/06","1","36","32","0","0"
"30/06","0","47","14","0","0"
"01/07","6","44","25","0","0"
"02/07","3","49","21","0","0"
"03/07","7","39","16","0","0"
"04/07","0","74","26","0","0"
"05/07","2","39","27","0","0"
"06/07","0","72","26","0","0"
"07/07","1","107","60","0","0"
"08/07","1","61","60","0","0"
"09/07","0","80","70","0","0"
"10/07","0","83","60","0","0"
"11/07","0","155","134","0","0"
"12/07","0","140","114","0","0"
"13/07","0","112","57","0","0"
"14/07","0","155","94","0","0"
"15/07","0","152","68","0","0"
"16/07","0","205","92","0","0"
"17/07","0","258","121","0","0"
"18/07","0","149","62","0","0"
"19/07","0","237","101","0","0"
"20/07","0","189","72","0","3"
"21/07","0","253","68","0","6"
"22/07","0","323","102","0","14"
"23/07","0","297","74","0","7"
"24/07","0","221","57","0","11"
"25/07","0","253","73","0","11"
"26/07","0","319","78","0","16"
"27/07","0","394","86","0","18"
"28/07","0","266","81","0","13"
"29/07","0","203","54","0","17"
"30/07","0","433","155","0","52"
"31/07","0","425","107","0","28"
"01/08","0","277","83","0","8"
"02/08","0","465","101","0","43"
"03/08","0","259","61","0","38"
"04/08","0","280","49","49","80"
"05/08","0","504","48","0","144"
"06/08","0","329","42","0","75"
"07/08","1","287","44","0","93"
"08/08","0","309","37","0","111"
"09/08","0","246","26","0","103"
"10/08","0","172","16","0","124"
"11/08","0","180","13","0","132"
"12/08","0","185","16","0","206"
"13/08","0","114","0","0","157"
"14/08","0","64","0","0","308"
