"Date","Hobsons Bay"
"01/06","0"
"02/06","-1"
"03/06","0"
"04/06","0"
"05/06","0"
"06/06","0"
"07/06","0"
"08/06","0"
"09/06","0"
"10/06","0"
"11/06","0"
"12/06","0"
"13/06","0"
"14/06","0"
"15/06","0"
"16/06","0"
"17/06","0"
"18/06","0"
"19/06","0"
"20/06","0"
"21/06","0"
"22/06","0"
"23/06","0"
"24/06","0"
"25/06","0"
"26/06","2"
"27/06","0"
"28/06","1"
"29/06","0"
"30/06","1"
"01/07","2"
"02/07","1"
"03/07","0"
"04/07","6"
"05/07","0"
"06/07","3"
"07/07","4"
"08/07","2"
"09/07","-1"
"10/07","7"
"11/07","1"
"12/07","5"
"13/07","4"
"14/07","6"
"15/07","9"
"16/07","10"
"17/07","10"
"18/07","5"
"19/07","7"
"20/07","2"
"21/07","7"
"22/07","4"
"23/07","4"
"24/07","4"
"25/07","8"
"26/07","5"
"27/07","2"
"28/07","9"
"29/07","1"
"30/07","10"
"31/07","10"
"01/08","13"
"02/08","13"
"03/08","4"
"04/08","10"
"05/08","11"
"06/08","16"
"07/08","4"
"08/08","12"
"09/08","12"
"10/08","17"
"11/08","8"
"12/08","1"
"13/08","14"
"14/08","18"
